file,mouse,kind,detail,before,after
female3bottom000326_09_0213_03_46_008,F3,fast clicks merged,escape: 34 gap(s) <= 0.35s filled,135,101
female3bottom000326_09_0213_03_46_008,F3,metadata filled,sessionNo,(empty),3
female3bottom000326_09_0213_03_46_008,F3,metadata filled,mouseID,(empty),F3
female3bottom000326_09_0213_03_46_008,F3,metadata filled,sexID,(empty),F
female3bottom000326_09_0213_03_46_008,F3,metadata filled,dayNo,(empty),1
female3bottom000326_09_0213_03_46_008,F3,metadata filled,phase,Baseline,Baseline (no injection)
female3bottom000326_09_0213_03_46_008,F3,metadata filled,treatment,(empty),Vehicle
female3bottom000326_09_0213_03_46_008,F3,guardMin,tap scoring: a duration filter would discard nearly every mark,2.0,0.0
male1bottom000626_09_0214_37_16_006,M1,stimulus name spelling only,slot 1,mild touch,Mild touch
male1bottom000626_09_0214_37_16_006,M1,stimulus name spelling only,slot 2,light,Light touch
male1bottom000626_09_0214_37_16_006,M1,fast clicks merged,attending: 3 gap(s) <= 0.35s filled,35,32
male1bottom000626_09_0214_37_16_006,M1,fast clicks merged,lickbite: 5 gap(s) <= 0.35s filled,26,21
male1bottom000626_09_0214_37_16_006,M1,fast clicks merged,guarding: 3 gap(s) <= 0.35s filled,32,29
male1bottom000626_09_0214_37_16_006,M1,nominal duration applied,"guarding: 18 event(s) extended to 1s each (a tap records the keypress, not the behaviour). Event COUNT is unchanged",28.37s total,35.73s total
male1bottom000626_09_0214_37_16_006,M1,metadata filled,sessionNo,(empty),4
male1bottom000626_09_0214_37_16_006,M1,metadata filled,mouseID,(empty),M1
male1bottom000626_09_0214_37_16_006,M1,metadata filled,sexID,(empty),M
male1bottom000626_09_0214_37_16_006,M1,metadata filled,dayNo,(empty),1
male1bottom000626_09_0214_37_16_006,M1,metadata filled,phase,Baseline,Baseline (no injection)
male1bottom000626_09_0214_37_16_006,M1,metadata filled,treatment,(empty),Vehicle
male1bottom000626_09_0214_37_16_006,M1,guardMin,tap scoring: a duration filter would discard nearly every mark,2.0,0.0
male2bottom000526_09_0214_06_31_004,M2,stimulus mis-key (clock window),t=1277.0s is in block 3 (1020-1320s),Light touch,Heat
male2bottom000526_09_0214_06_31_004,M2,stimulus mis-key (clock window),t=1278.2s is in block 3 (1020-1320s),Light touch,Heat
male2bottom000526_09_0214_06_31_004,M2,stimulus mis-key (clock window),t=1279.7s is in block 3 (1020-1320s),Light touch,Heat
male2bottom000526_09_0214_06_31_004,M2,fast clicks merged,attending: 3 gap(s) <= 0.35s filled,40,37
male2bottom000526_09_0214_06_31_004,M2,fast clicks merged,guarding: 5 gap(s) <= 0.35s filled,26,21
male2bottom000526_09_0214_06_31_004,M2,nominal duration applied,"guarding: 14 event(s) extended to 1s each (a tap records the keypress, not the behaviour). Event COUNT is unchanged",20.03s total,25.07s total
male2bottom000526_09_0214_06_31_004,M2,fast clicks merged,escape: 9 gap(s) <= 0.35s filled,114,105
male2bottom000526_09_0214_06_31_004,M2,metadata filled,sessionNo,(empty),5
male2bottom000526_09_0214_06_31_004,M2,metadata filled,mouseID,(empty),M2
male2bottom000526_09_0214_06_31_004,M2,metadata filled,sexID,(empty),M
male2bottom000526_09_0214_06_31_004,M2,metadata filled,dayNo,(empty),1
male2bottom000526_09_0214_06_31_004,M2,metadata filled,phase,Baseline,Baseline (no injection)
male2bottom000526_09_0214_06_31_004,M2,metadata filled,treatment,(empty),Vehicle
male2bottom000526_09_0214_06_31_004,M2,guardMin,tap scoring: a duration filter would discard nearly every mark,2.0,0.0
male3bottom000426_09_0213_35_27_011,M3,stimulus name spelling only,slot 1,pin prick,Pin prick
male3bottom000426_09_0213_35_27_011,M3,stimulus name spelling only,slot 3,light,Light touch
male3bottom000426_09_0213_35_27_011,M3,stimulus name spelling only,slot 4,heat,Heat
male3bottom000426_09_0213_35_27_011,M3,stimulus mis-key (clock window),t=371.2s is in block 1 (300-600s),Mild touch,Pin prick
male3bottom000426_09_0213_35_27_011,M3,stimulus mis-key (clock window),t=1022.5s is in block 3 (1020-1320s),Mild touch,Light touch
male3bottom000426_09_0213_35_27_011,M3,stimulus mis-key (clock window),t=1026.0s is in block 3 (1020-1320s),Mild touch,Light touch
male3bottom000426_09_0213_35_27_011,M3,stimulus mis-key (clock window),t=1027.4s is in block 3 (1020-1320s),Mild touch,Light touch
male3bottom000426_09_0213_35_27_011,M3,stimulus mis-key (clock window),t=1030.0s is in block 3 (1020-1320s),Mild touch,Light touch
male3bottom000426_09_0213_35_27_011,M3,stimulus mis-key (clock window),t=1031.3s is in block 3 (1020-1320s),Mild touch,Light touch
male3bottom000426_09_0213_35_27_011,M3,fast clicks merged,attending: 1 gap(s) <= 0.35s filled,44,43
male3bottom000426_09_0213_35_27_011,M3,fast clicks merged,lickbite: 3 gap(s) <= 0.35s filled,24,21
male3bottom000426_09_0213_35_27_011,M3,fast clicks merged,guarding: 5 gap(s) <= 0.35s filled,29,24
male3bottom000426_09_0213_35_27_011,M3,nominal duration applied,"guarding: 20 event(s) extended to 1s each (a tap records the keypress, not the behaviour). Event COUNT is unchanged",11.73s total,17.43s total
male3bottom000426_09_0213_35_27_011,M3,fast clicks merged,escape: 1 gap(s) <= 0.35s filled,58,57
male3bottom000426_09_0213_35_27_011,M3,metadata filled,sessionNo,(empty),6
male3bottom000426_09_0213_35_27_011,M3,metadata filled,mouseID,(empty),M3
male3bottom000426_09_0213_35_27_011,M3,metadata filled,sexID,(empty),M
male3bottom000426_09_0213_35_27_011,M3,metadata filled,dayNo,(empty),1
male3bottom000426_09_0213_35_27_011,M3,metadata filled,phase,Baseline,Baseline (no injection)
male3bottom000426_09_0213_35_27_011,M3,metadata filled,treatment,(empty),Vehicle
male3bottom000426_09_0213_35_27_011,M3,guardMin,tap scoring: a duration filter would discard nearly every mark,2.0,0.0
