frame,time_s,affective_code,affective_label,affective_code_ml,affective_label_ml,withdrawal,flinch,withdrawal_ml,flinch_ml,stim_index,stim_code,stimulus,sec_since_delivery,uncertain,exclude_from_training,corrected
144,4.7667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
145,4.8,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
146,4.8333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
147,4.8667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
148,4.9,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
149,4.9333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
150,4.9667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
151,5.0,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
152,5.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
153,5.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
154,5.1,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
155,5.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
156,5.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
157,5.2,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
158,5.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
159,5.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
160,5.3,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
161,5.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
162,5.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
163,5.4,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
164,5.4333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
165,5.4667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
166,5.5,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
167,5.5333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
168,5.5667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
169,5.6,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
170,5.6333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
171,5.6667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
172,5.7,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
173,5.7333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
174,5.7667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
175,5.8,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
176,5.8333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
177,5.8667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
178,5.9,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
179,5.9333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
180,5.9667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
181,6.0,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
182,6.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
183,6.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
184,6.1,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
185,6.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
186,6.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
187,6.2,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
188,6.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
189,6.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
190,6.3,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
191,6.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
192,6.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
193,6.4,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
194,6.4333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
195,6.4667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
196,6.5,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
197,6.5333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
198,6.5667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
199,6.6,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
200,6.6333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
201,6.6667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
202,6.7,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
203,6.7333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
204,6.7667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
205,6.8,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
206,6.8333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
207,6.8667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
208,6.9,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
209,6.9333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
210,6.9667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
211,7.0,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
212,7.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
213,7.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
214,7.1,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
215,7.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
216,7.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
217,7.2,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
218,7.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
219,7.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
220,7.3,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
221,7.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
222,7.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
223,7.4,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
224,7.4333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
225,7.4667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
226,7.5,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
227,7.5333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
228,7.5667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
229,7.6,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
230,7.6333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
231,7.6667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
232,7.7,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
233,7.7333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
234,7.7667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
235,7.8,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
236,7.8333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
237,7.8667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
238,7.9,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
239,7.9333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
240,7.9667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
241,8.0,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
242,8.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
243,8.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
244,8.1,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
245,8.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
246,8.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
247,8.2,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
248,8.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
249,8.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
250,8.3,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
251,8.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
252,8.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
253,8.4,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
254,8.4333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
255,8.4667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
256,8.5,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
257,8.5333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
258,8.5667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
259,8.6,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
260,8.6333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
261,8.6667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
262,8.7,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
263,8.7333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
264,8.7667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
265,8.8,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
266,8.8333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
267,8.8667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
268,8.9,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
269,8.9333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
270,8.9667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
271,9.0,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
272,9.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
273,9.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
274,9.1,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
275,9.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
276,9.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
277,9.2,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
278,9.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
279,9.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
280,9.3,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
281,9.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
282,9.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
283,9.4,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
284,9.4333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
285,9.4667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
286,9.5,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
287,9.5333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
288,9.5667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
289,9.6,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
290,9.6333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
291,9.6667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
292,9.7,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
293,9.7333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
294,9.7667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
295,9.8,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
296,9.8333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
297,9.8667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
298,9.9,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
299,9.9333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
300,9.9667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
301,10.0,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
302,10.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
303,10.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
304,10.1,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
305,10.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
306,10.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
307,10.2,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
308,10.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
309,10.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
310,10.3,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
311,10.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
312,10.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
313,10.4,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
314,10.4333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
315,10.4667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
316,10.5,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
317,10.5333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
318,10.5667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
319,10.6,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
320,10.6333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
321,10.6667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
322,10.7,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
323,10.7333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
