day,mouse,sex,stimulus,behaviour,n_deliveries,n_events,per_delivery
Day 1 no drug,M3,M,Mild touch,guarding,24,4,0.16666666666666666
Day 1 no drug,M3,M,Mild touch,escape,24,7,0.2916666666666667
Day 1 no drug,M3,M,Light touch,withdrawal,25,26,1.04
Day 1 no drug,M3,M,Light touch,flinch,25,10,0.4
Day 1 no drug,M3,M,Light touch,attending,25,8,0.32
Day 1 no drug,M3,M,Light touch,lickbite,25,1,0.04
Day 1 no drug,M3,M,Light touch,guarding,25,5,0.2
Day 1 no drug,M3,M,Light touch,escape,25,5,0.2
Day 1 no drug,M3,M,Heat,withdrawal,20,28,1.4
Day 1 no drug,M3,M,Heat,flinch,20,23,1.15
Day 1 no drug,M3,M,Heat,attending,20,12,0.6
Day 1 no drug,M3,M,Heat,lickbite,20,12,0.6
Day 1 no drug,M3,M,Heat,guarding,20,13,0.65
Day 1 no drug,M3,M,Heat,escape,20,14,0.7
Day 2 drug,F1,F,Pin prick,withdrawal,17,16,0.9411764705882353
Day 2 drug,F1,F,Pin prick,flinch,17,4,0.23529411764705882
Day 2 drug,F1,F,Pin prick,attending,17,0,0.0
Day 2 drug,F1,F,Pin prick,lickbite,17,1,0.058823529411764705
Day 2 drug,F1,F,Pin prick,guarding,17,1,0.058823529411764705
Day 2 drug,F1,F,Pin prick,escape,17,1,0.058823529411764705
Day 2 drug,F1,F,Heat,withdrawal,15,11,0.7333333333333333
Day 2 drug,F1,F,Heat,flinch,15,1,0.06666666666666667
Day 2 drug,F1,F,Heat,attending,15,0,0.0
Day 2 drug,F1,F,Heat,lickbite,15,1,0.06666666666666667
Day 2 drug,F1,F,Heat,guarding,15,5,0.3333333333333333
Day 2 drug,F1,F,Heat,escape,15,3,0.2
Day 2 drug,F1,F,Mild touch,withdrawal,13,7,0.5384615384615384
Day 2 drug,F1,F,Mild touch,flinch,13,7,0.5384615384615384
Day 2 drug,F1,F,Mild touch,attending,13,0,0.0
Day 2 drug,F1,F,Mild touch,lickbite,13,7,0.5384615384615384
Day 2 drug,F1,F,Mild touch,guarding,13,1,0.07692307692307693
Day 2 drug,F1,F,Mild touch,escape,13,0,0.0
Day 2 drug,F1,F,Light touch,withdrawal,13,5,0.38461538461538464
Day 2 drug,F1,F,Light touch,flinch,13,1,0.07692307692307693
Day 2 drug,F1,F,Light touch,attending,13,3,0.23076923076923078
Day 2 drug,F1,F,Light touch,lickbite,13,3,0.23076923076923078
Day 2 drug,F1,F,Light touch,guarding,13,5,0.38461538461538464
Day 2 drug,F1,F,Light touch,escape,13,0,0.0
Day 2 drug,F2,F,Pin prick,withdrawal,12,12,1.0
Day 2 drug,F2,F,Pin prick,flinch,12,10,0.8333333333333334
Day 2 drug,F2,F,Pin prick,attending,12,2,0.16666666666666666
Day 2 drug,F2,F,Pin prick,lickbite,12,1,0.08333333333333333
Day 2 drug,F2,F,Pin prick,guarding,12,2,0.16666666666666666
Day 2 drug,F2,F,Pin prick,escape,12,0,0.0
Day 2 drug,F2,F,Heat,withdrawal,13,14,1.0769230769230769
Day 2 drug,F2,F,Heat,flinch,13,12,0.9230769230769231
Day 2 drug,F2,F,Heat,attending,13,4,0.3076923076923077
Day 2 drug,F2,F,Heat,lickbite,13,4,0.3076923076923077
Day 2 drug,F2,F,Heat,guarding,13,4,0.3076923076923077
Day 2 drug,F2,F,Heat,escape,13,1,0.07692307692307693
Day 2 drug,F2,F,Light touch,withdrawal,18,8,0.4444444444444444
Day 2 drug,F2,F,Light touch,flinch,18,0,0.0
Day 2 drug,F2,F,Light touch,attending,18,0,0.0
Day 2 drug,F2,F,Light touch,lickbite,18,0,0.0
Day 2 drug,F2,F,Light touch,guarding,18,0,0.0
Day 2 drug,F2,F,Light touch,escape,18,0,0.0
Day 2 drug,F2,F,Mild touch,withdrawal,14,9,0.6428571428571429
Day 2 drug,F2,F,Mild touch,flinch,14,3,0.21428571428571427
Day 2 drug,F2,F,Mild touch,attending,14,2,0.14285714285714285
Day 2 drug,F2,F,Mild touch,lickbite,14,1,0.07142857142857142
Day 2 drug,F2,F,Mild touch,guarding,14,3,0.21428571428571427
Day 2 drug,F2,F,Mild touch,escape,14,0,0.0
Day 2 drug,F3,F,Light touch,withdrawal,17,6,0.35294117647058826
Day 2 drug,F3,F,Light touch,flinch,17,0,0.0
Day 2 drug,F3,F,Light touch,attending,17,0,0.0
Day 2 drug,F3,F,Light touch,lickbite,17,0,0.0
Day 2 drug,F3,F,Light touch,guarding,17,1,0.058823529411764705
Day 2 drug,F3,F,Light touch,escape,17,1,0.058823529411764705
Day 2 drug,F3,F,Mild touch,withdrawal,18,8,0.4444444444444444
Day 2 drug,F3,F,Mild touch,flinch,18,4,0.2222222222222222
Day 2 drug,F3,F,Mild touch,attending,18,0,0.0
Day 2 drug,F3,F,Mild touch,lickbite,18,0,0.0
Day 2 drug,F3,F,Mild touch,guarding,18,0,0.0
Day 2 drug,F3,F,Mild touch,escape,18,2,0.1111111111111111
Day 2 drug,F3,F,Pin prick,withdrawal,19,17,0.8947368421052632
Day 2 drug,F3,F,Pin prick,flinch,19,16,0.8421052631578947
Day 2 drug,F3,F,Pin prick,attending,19,0,0.0
Day 2 drug,F3,F,Pin prick,lickbite,19,0,0.0
Day 2 drug,F3,F,Pin prick,guarding,19,3,0.15789473684210525
Day 2 drug,F3,F,Pin prick,escape,19,2,0.10526315789473684
Day 2 drug,F3,F,Heat,withdrawal,14,14,1.0
Day 2 drug,F3,F,Heat,flinch,14,16,1.1428571428571428
Day 2 drug,F3,F,Heat,attending,14,7,0.5
Day 2 drug,F3,F,Heat,lickbite,14,1,0.07142857142857142
Day 2 drug,F3,F,Heat,guarding,14,2,0.14285714285714285
Day 2 drug,F3,F,Heat,escape,14,3,0.21428571428571427
Day 2 drug,M1,M,Light touch,withdrawal,12,2,0.16666666666666666
Day 2 drug,M1,M,Light touch,flinch,12,0,0.0
Day 2 drug,M1,M,Light touch,attending,12,1,0.08333333333333333
Day 2 drug,M1,M,Light touch,lickbite,12,0,0.0
Day 2 drug,M1,M,Light touch,guarding,12,0,0.0
Day 2 drug,M1,M,Light touch,escape,12,1,0.08333333333333333
Day 2 drug,M1,M,Pin prick,withdrawal,16,14,0.875
Day 2 drug,M1,M,Pin prick,flinch,16,9,0.5625
Day 2 drug,M1,M,Pin prick,attending,16,3,0.1875
Day 2 drug,M1,M,Pin prick,lickbite,16,0,0.0
Day 2 drug,M1,M,Pin prick,guarding,16,0,0.0
Day 2 drug,M1,M,Pin prick,escape,16,2,0.125
Day 2 drug,M1,M,Heat,withdrawal,19,13,0.6842105263157895
Day 2 drug,M1,M,Heat,flinch,19,8,0.42105263157894735
Day 2 drug,M1,M,Heat,attending,19,0,0.0
Day 2 drug,M1,M,Heat,lickbite,19,1,0.05263157894736842
Day 2 drug,M1,M,Heat,guarding,19,1,0.05263157894736842
Day 2 drug,M1,M,Heat,escape,19,1,0.05263157894736842
Day 2 drug,M1,M,Mild touch,withdrawal,17,9,0.5294117647058824
Day 2 drug,M1,M,Mild touch,flinch,17,1,0.058823529411764705
Day 2 drug,M1,M,Mild touch,attending,17,0,0.0
Day 2 drug,M1,M,Mild touch,lickbite,17,0,0.0
Day 2 drug,M1,M,Mild touch,guarding,17,0,0.0
Day 2 drug,M1,M,Mild touch,escape,17,1,0.058823529411764705
Day 2 drug,M2,M,Heat,withdrawal,19,10,0.5263157894736842
Day 2 drug,M2,M,Heat,flinch,19,6,0.3157894736842105
Day 2 drug,M2,M,Heat,attending,19,2,0.10526315789473684
Day 2 drug,M2,M,Heat,lickbite,19,0,0.0
Day 2 drug,M2,M,Heat,guarding,19,0,0.0
Day 2 drug,M2,M,Heat,escape,19,3,0.15789473684210525
Day 2 drug,M2,M,Pin prick,withdrawal,17,12,0.7058823529411765
Day 2 drug,M2,M,Pin prick,flinch,17,3,0.17647058823529413
Day 2 drug,M2,M,Pin prick,attending,17,4,0.23529411764705882
Day 2 drug,M2,M,Pin prick,lickbite,17,1,0.058823529411764705
Day 2 drug,M2,M,Pin prick,guarding,17,1,0.058823529411764705
Day 2 drug,M2,M,Pin prick,escape,17,3,0.17647058823529413
Day 2 drug,M2,M,Mild touch,withdrawal,15,9,0.6
Day 2 drug,M2,M,Mild touch,flinch,15,2,0.13333333333333333
Day 2 drug,M2,M,Mild touch,attending,15,1,0.06666666666666667
Day 2 drug,M2,M,Mild touch,lickbite,15,0,0.0
Day 2 drug,M2,M,Mild touch,guarding,15,1,0.06666666666666667
Day 2 drug,M2,M,Mild touch,escape,15,2,0.13333333333333333
Day 2 drug,M2,M,Light touch,withdrawal,19,8,0.42105263157894735
Day 2 drug,M2,M,Light touch,flinch,19,4,0.21052631578947367
Day 2 drug,M2,M,Light touch,attending,19,2,0.10526315789473684
Day 2 drug,M2,M,Light touch,lickbite,19,0,0.0
Day 2 drug,M2,M,Light touch,guarding,19,0,0.0
Day 2 drug,M2,M,Light touch,escape,19,5,0.2631578947368421
Day 2 drug,M3,M,Light touch,withdrawal,17,11,0.6470588235294118
Day 2 drug,M3,M,Light touch,flinch,17,5,0.29411764705882354
Day 2 drug,M3,M,Light touch,attending,17,2,0.11764705882352941
Day 2 drug,M3,M,Light touch,lickbite,17,0,0.0
Day 2 drug,M3,M,Light touch,guarding,17,0,0.0
Day 2 drug,M3,M,Light touch,escape,17,3,0.17647058823529413
Day 2 drug,M3,M,Mild touch,withdrawal,17,13,0.7647058823529411
Day 2 drug,M3,M,Mild touch,flinch,17,8,0.47058823529411764
Day 2 drug,M3,M,Mild touch,attending,17,3,0.17647058823529413
Day 2 drug,M3,M,Mild touch,lickbite,17,0,0.0
Day 2 drug,M3,M,Mild touch,guarding,17,0,0.0
Day 2 drug,M3,M,Mild touch,escape,17,2,0.11764705882352941
Day 2 drug,M3,M,Heat,withdrawal,21,20,0.9523809523809523
Day 2 drug,M3,M,Heat,flinch,21,23,1.0952380952380953
Day 2 drug,M3,M,Heat,attending,21,6,0.2857142857142857
Day 2 drug,M3,M,Heat,lickbite,21,8,0.38095238095238093
Day 2 drug,M3,M,Heat,guarding,21,9,0.42857142857142855
Day 2 drug,M3,M,Heat,escape,21,8,0.38095238095238093
Day 2 drug,M3,M,Pin prick,withdrawal,16,13,0.8125
Day 2 drug,M3,M,Pin prick,flinch,16,17,1.0625
Day 2 drug,M3,M,Pin prick,attending,16,6,0.375
Day 2 drug,M3,M,Pin prick,lickbite,16,1,0.0625
Day 2 drug,M3,M,Pin prick,guarding,16,3,0.1875
Day 2 drug,M3,M,Pin prick,escape,16,1,0.0625
