file,mouse,kind,detail,before,after
male2bottom001126_09_0313_30_46,M2,metadata filled,treatment,(empty),SBI-553
male2bottom001126_09_0313_30_46,M2,guardMin,tap scoring: a duration filter would discard nearly every mark,2.0,0.0
male3bottom001026_09_0313_01_11,M3,stimulus mis-key (clock window),t=700.1s is in block 2 (660-960s),Light touch,Mild touch
male3bottom001026_09_0313_01_11,M3,stimulus mis-key (clock window),t=702.0s is in block 2 (660-960s),Light touch,Mild touch
male3bottom001026_09_0313_01_11,M3,stimulus mis-key (clock window),t=1304.6s is in block 3 (1020-1320s),Pin prick,Heat
male3bottom001026_09_0313_01_11,M3,stimulus mis-key (clock window),t=1305.1s is in block 3 (1020-1320s),Pin prick,Heat
male3bottom001026_09_0313_01_11,M3,fast clicks merged,attending: 1 gap(s) <= 0.35s filled,20,19
male3bottom001026_09_0313_01_11,M3,fast clicks merged,guarding: 1 gap(s) <= 0.35s filled,13,12
male3bottom001026_09_0313_01_11,M3,nominal duration applied,"guarding: 12 event(s) extended to 1s each (a tap records the keypress, not the behaviour). Event COUNT is unchanged",5.23s total,8.03s total
male3bottom001026_09_0313_01_11,M3,fast clicks merged,escape: 1 gap(s) <= 0.35s filled,23,22
male3bottom001026_09_0313_01_11,M3,metadata filled,sessionNo,(empty),12
male3bottom001026_09_0313_01_11,M3,metadata filled,mouseID,(empty),M3
male3bottom001026_09_0313_01_11,M3,metadata filled,sexID,(empty),M
male3bottom001026_09_0313_01_11,M3,metadata filled,phase,Baseline,Post-treatment
male3bottom001026_09_0313_01_11,M3,metadata filled,treatment,(empty),SBI-553
male3bottom001026_09_0313_01_11,M3,guardMin,tap scoring: a duration filter would discard nearly every mark,2.0,0.0
