metric,behaviour,stimulus,n_mice,day1_mean,day2_mean,day1_sem,day2_sem,n_up,n_down,n_tied,p_wilcoxon,p_mannwhitney,p_floor,q_wilcoxon
rate,lickbite,Heat,6,1.3416968599033818,1.0340608465608467,0.19119691675349734,0.11047676141802439,1,4,1,0.125,0.26149617619114607,0.03125,0.24193548387096775
rate,lickbite,Light touch,6,0.19670613700025466,0.12835841694537345,0.0673258840799802,0.058752994952461696,2,3,1,0.4375,0.46804160590041655,0.03125,0.6104651162790697
rate,lickbite,Mild touch,6,0.3827790630422209,0.1974206349206349,0.11372787878280641,0.07225737196281803,1,4,1,0.125,0.26149617619114607,0.03125,0.24193548387096775
rate,lickbite,Pin prick,6,0.8436461514564599,0.5558730158730159,0.29501374302015576,0.2583993730558045,0,5,1,0.0625,0.46804160590041655,0.03125,0.19736842105263158
rate,guarding,ALL,6,0.6611663438117531,0.448354760734963,0.13564427024817055,0.1192768429264316,1,5,0,0.0625,0.24025974025974026,0.03125,0.19736842105263158
rate,guarding,Heat,6,1.0877744839701362,0.7797880116959064,0.21424698109318976,0.22836000208678436,0,6,0,0.03125,0.29710698354709286,0.03125,0.19736842105263158
rate,guarding,Light touch,6,0.22718954248366016,0.1095782237086585,0.1807664961281032,0.06653241419800944,1,2,3,0.5,1.0,0.03125,0.6666666666666666
rate,guarding,Mild touch,6,0.4320006747638327,0.23710317460317457,0.14760410995359774,0.11589492753250756,1,5,0,0.0625,0.3776423913808655,0.03125,0.19736842105263158
rate,guarding,Pin prick,6,0.9584398381733585,0.7345767195767197,0.3254790963242374,0.28079591020433464,0,5,1,0.0625,0.6303555263618644,0.03125,0.19736842105263158
rate,escape,ALL,6,0.6692599833795244,0.6747985887506317,0.06372514843330279,0.07152669722273143,3,3,0,1.0,0.9360746770666198,0.03125,1.0
rate,escape,Heat,6,1.0948726394378567,1.131422305764411,0.0849367791306184,0.10521854477845981,3,3,0,0.6875,0.8181818181818182,0.03125,0.7366071428571429
rate,escape,Light touch,6,0.42024200721131666,0.40937383872166483,0.11687016543488904,0.12336200581108114,4,1,1,0.625,1.0,0.03125,0.7075471698113207
rate,escape,Mild touch,6,0.6328352933616092,0.6562499999999999,0.13695089521402484,0.14625939946925318,4,2,0,0.21875,0.8098548786049068,0.03125,0.3645833333333333
rate,escape,Pin prick,6,0.6656912366502129,0.642020757020757,0.18012344667755914,0.16213161110434504,2,4,0,0.5625,0.6991341991341992,0.03125,0.703125
hit,withdrawal,ALL,6,0.7980976884445933,0.7664085063656638,0.06582558218467194,0.06945176507962866,1,5,0,0.09375,0.5887445887445888,0.03125,0.234375
hit,withdrawal,Heat,6,0.8815217391304347,0.8697002923976608,0.0788099698144531,0.0666341534108342,1,3,2,0.625,0.5496738785015601,0.03125,0.7075471698113207
hit,withdrawal,Light touch,6,0.6553978587482424,0.6016164994425864,0.0831975070520906,0.08798699827021825,1,5,0,0.09375,0.5887445887445888,0.03125,0.234375
hit,withdrawal,Mild touch,6,0.8368437118437119,0.7961309523809524,0.08736936178300006,0.08968742304797056,0,5,1,0.0625,0.4624327264504762,0.03125,0.19736842105263158
hit,withdrawal,Pin prick,6,0.8405067884818936,0.8295258445258445,0.08378005767241059,0.09098792796478672,2,4,0,0.5625,0.748348568843747,0.03125,0.703125
hit,flinch,ALL,6,0.4898485233210544,0.47054619666256886,0.09780944513183075,0.08602210652871199,2,4,0,0.4375,0.8181818181818182,0.03125,0.6104651162790697
hit,flinch,Heat,6,0.6826086956521739,0.6817129629629629,0.1541864843612187,0.15162037037037038,1,2,3,1.0,1.0,0.03125,1.0
hit,flinch,Light touch,6,0.31054858043349093,0.322960795243404,0.08804868220786476,0.08890854118234644,3,1,2,0.875,1.0,0.03125,0.9051724137931034
hit,flinch,Mild touch,6,0.4574689929953087,0.43402777777777773,0.1230161275359886,0.11128569228230703,2,4,0,0.4375,0.9372294372294373,0.03125,0.6104651162790697
hit,flinch,Pin prick,6,0.5382073464559439,0.502000407000407,0.14701488629058337,0.14572887617064742,1,5,0,0.21875,0.6991341991341992,0.03125,0.3645833333333333
hit,attending,ALL,6,0.4629359057624655,0.35232190515150297,0.08979663509434865,0.07241088505989993,0,6,0,0.03125,0.30952380952380953,0.03125,0.19736842105263158
hit,attending,Heat,6,0.5596179183135704,0.5019406154274576,0.09343546174823993,0.10352335378571087,2,3,1,0.3125,0.6303555263618644,0.03125,0.4807692307692308
hit,attending,Light touch,6,0.2891771201234117,0.18067168338907472,0.06841851829529162,0.03825064688615765,1,4,1,0.125,0.1993972627538182,0.03125,0.24193548387096775
hit,attending,Mild touch,6,0.4388455112139323,0.39037698412698413,0.1365552359258986,0.1326469023234962,2,3,1,0.4375,0.8095268319140044,0.03125,0.6104651162790697
hit,attending,Pin prick,6,0.5760922058695551,0.39237688237688245,0.09525875718950548,0.07261616642442976,1,5,0,0.0625,0.30952380952380953,0.03125,0.19736842105263158
hit,lickbite,ALL,6,0.3910991325582347,0.30142734539903043,0.06277379112667861,0.06355227272046705,1,5,0,0.0625,0.2289506814145954,0.03125,0.19736842105263158
hit,lickbite,Heat,6,0.6738691260430391,0.5857699805068226,0.07216851589289622,0.09481056461375255,1,5,0,0.09375,0.5211099829589063,0.03125,0.234375
hit,lickbite,Light touch,6,0.1579339614633732,0.12111204013377926,0.05150735880467126,0.05236661411896684,4,1,1,0.625,0.9357362806427562,0.03125,0.7075471698113207
hit,lickbite,Mild touch,6,0.2568215410320674,0.17509920634920637,0.0870343029951816,0.0611601309528175,1,4,1,0.125,0.33582209832134224,0.03125,0.24193548387096775
hit,lickbite,Pin prick,6,0.4824095619590009,0.3262433862433862,0.13053097738893432,0.12226912222310729,0,4,2,0.125,0.5181589052161036,0.03125,0.24193548387096775
hit,guarding,ALL,6,0.333214179038185,0.24459561710002944,0.05870821318139313,0.060239119701646485,1,5,0,0.0625,0.24025974025974026,0.03125,0.19736842105263158
hit,guarding,Heat,6,0.48461791831357054,0.331697298802562,0.08931436835608957,0.09421631256421714,2,4,0,0.3125,0.26149617619114607,0.03125,0.4807692307692308
hit,guarding,Light touch,6,0.12052287581699346,0.1095782237086585,0.0772078863384142,0.06653241419800944,1,2,3,0.5,1.0,0.03125,0.6666666666666666
hit,guarding,Mild touch,6,0.2557989525094788,0.13293650793650794,0.07008202803266476,0.05235990438109759,1,5,0,0.0625,0.22813286774813712,0.03125,0.19736842105263158
hit,guarding,Pin prick,6,0.5027348469669648,0.42259259259259263,0.13397393992534246,0.11040578601565178,0,5,1,0.0625,0.5211099829589063,0.03125,0.19736842105263158
hit,escape,ALL,6,0.47860049544206046,0.4793175230247042,0.034051083276806754,0.03422319921130715,2,4,0,0.6875,1.0,0.03125,0.7366071428571429
hit,escape,Heat,6,0.7187335309617918,0.7274697159565581,0.06997074857827887,0.0632856431125471,3,3,0,0.6875,1.0,0.03125,0.7366071428571429
hit,escape,Light touch,6,0.2918582426382938,0.29594946116685245,0.06309896075071782,0.06315036558184657,4,1,1,0.625,0.8725590308923818,0.03125,0.7075471698113207
hit,escape,Mild touch,6,0.5250096394833237,0.529265873015873,0.1025430295441561,0.10590225502640395,4,2,0,0.5625,0.9372294372294373,0.03125,0.703125
hit,escape,Pin prick,6,0.450416241659229,0.44243182743182746,0.10084988900770607,0.09011907474849802,3,2,1,0.8125,1.0,0.03125,0.8552631578947368
