day,mouse,sex,stimulus,behaviour,n_deliveries,n_events,per_delivery
Day 1 no drug,F3,F,Light touch,guarding,30,2,0.06666666666666667
Day 1 no drug,F3,F,Light touch,escape,30,4,0.13333333333333333
Day 1 no drug,F3,F,Pin prick,withdrawal,21,33,1.5714285714285714
Day 1 no drug,F3,F,Pin prick,flinch,21,27,1.2857142857142858
Day 1 no drug,F3,F,Pin prick,attending,21,8,0.38095238095238093
Day 1 no drug,F3,F,Pin prick,lickbite,21,32,1.5238095238095237
Day 1 no drug,F3,F,Pin prick,guarding,21,45,2.142857142857143
Day 1 no drug,F3,F,Pin prick,escape,21,23,1.0952380952380953
Day 1 no drug,F3,F,Mild touch,withdrawal,19,25,1.3157894736842106
Day 1 no drug,F3,F,Mild touch,flinch,19,11,0.5789473684210527
Day 1 no drug,F3,F,Mild touch,attending,19,9,0.47368421052631576
Day 1 no drug,F3,F,Mild touch,lickbite,19,5,0.2631578947368421
Day 1 no drug,F3,F,Mild touch,guarding,19,5,0.2631578947368421
Day 1 no drug,F3,F,Mild touch,escape,19,10,0.5263157894736842
Day 1 no drug,M1,M,Mild touch,withdrawal,26,44,1.6923076923076923
Day 1 no drug,M1,M,Mild touch,flinch,26,31,1.1923076923076923
Day 1 no drug,M1,M,Mild touch,attending,26,17,0.6538461538461539
Day 1 no drug,M1,M,Mild touch,lickbite,26,7,0.2692307692307692
Day 1 no drug,M1,M,Mild touch,guarding,26,15,0.5769230769230769
Day 1 no drug,M1,M,Mild touch,escape,26,12,0.46153846153846156
Day 1 no drug,M1,M,Light touch,withdrawal,28,33,1.1785714285714286
Day 1 no drug,M1,M,Light touch,flinch,28,38,1.3571428571428572
Day 1 no drug,M1,M,Light touch,attending,28,14,0.5
Day 1 no drug,M1,M,Light touch,lickbite,28,11,0.39285714285714285
Day 1 no drug,M1,M,Light touch,guarding,28,0,0.0
Day 1 no drug,M1,M,Light touch,escape,28,25,0.8928571428571429
Day 1 no drug,M1,M,Heat,withdrawal,22,39,1.7727272727272727
Day 1 no drug,M1,M,Heat,flinch,22,79,3.590909090909091
Day 1 no drug,M1,M,Heat,attending,22,32,1.4545454545454546
Day 1 no drug,M1,M,Heat,lickbite,22,22,1.0
Day 1 no drug,M1,M,Heat,guarding,22,21,0.9545454545454546
Day 1 no drug,M1,M,Heat,escape,22,20,0.9090909090909091
Day 1 no drug,M1,M,Pin prick,withdrawal,24,44,1.8333333333333333
Day 1 no drug,M1,M,Pin prick,flinch,24,61,2.5416666666666665
Day 1 no drug,M1,M,Pin prick,attending,24,19,0.7916666666666666
Day 1 no drug,M1,M,Pin prick,lickbite,24,0,0.0
Day 1 no drug,M1,M,Pin prick,guarding,24,32,1.3333333333333333
Day 1 no drug,M1,M,Pin prick,escape,24,5,0.20833333333333334
Day 1 no drug,M2,M,Pin prick,withdrawal,23,42,1.826086956521739
Day 1 no drug,M2,M,Pin prick,flinch,23,44,1.9130434782608696
Day 1 no drug,M2,M,Pin prick,attending,23,37,1.608695652173913
Day 1 no drug,M2,M,Pin prick,lickbite,23,17,0.7391304347826086
Day 1 no drug,M2,M,Pin prick,guarding,23,11,0.4782608695652174
Day 1 no drug,M2,M,Pin prick,escape,23,22,0.9565217391304348
Day 1 no drug,M2,M,Mild touch,withdrawal,21,28,1.3333333333333333
Day 1 no drug,M2,M,Mild touch,flinch,21,29,1.380952380952381
Day 1 no drug,M2,M,Mild touch,attending,21,20,0.9523809523809523
Day 1 no drug,M2,M,Mild touch,lickbite,21,8,0.38095238095238093
Day 1 no drug,M2,M,Mild touch,guarding,21,14,0.6666666666666666
Day 1 no drug,M2,M,Mild touch,escape,21,22,1.0476190476190477
Day 1 no drug,M2,M,Heat,withdrawal,16,41,2.5625
Day 1 no drug,M2,M,Heat,flinch,16,74,4.625
Day 1 no drug,M2,M,Heat,attending,16,14,0.875
Day 1 no drug,M2,M,Heat,lickbite,16,13,0.8125
Day 1 no drug,M2,M,Heat,guarding,16,22,1.375
Day 1 no drug,M2,M,Heat,escape,16,16,1.0
Day 1 no drug,M2,M,Light touch,withdrawal,23,27,1.173913043478261
Day 1 no drug,M2,M,Light touch,flinch,23,9,0.391304347826087
Day 1 no drug,M2,M,Light touch,attending,23,14,0.6086956521739131
Day 1 no drug,M2,M,Light touch,lickbite,23,0,0.0
Day 1 no drug,M2,M,Light touch,guarding,23,0,0.0
Day 1 no drug,M2,M,Light touch,escape,23,9,0.391304347826087
Day 1 no drug,M3,M,Pin prick,withdrawal,22,37,1.6818181818181819
Day 1 no drug,M3,M,Pin prick,flinch,22,21,0.9545454545454546
Day 1 no drug,M3,M,Pin prick,attending,22,39,1.7727272727272727
Day 1 no drug,M3,M,Pin prick,lickbite,22,17,0.7727272727272727
Day 1 no drug,M3,M,Pin prick,guarding,22,9,0.4090909090909091
Day 1 no drug,M3,M,Pin prick,escape,22,2,0.09090909090909091
Day 1 no drug,M3,M,Mild touch,withdrawal,24,54,2.25
Day 1 no drug,M3,M,Mild touch,flinch,24,7,0.2916666666666667
Day 1 no drug,M3,M,Mild touch,attending,24,44,1.8333333333333333
Day 1 no drug,M3,M,Mild touch,lickbite,24,14,0.5833333333333334
Day 1 no drug,M3,M,Mild touch,guarding,24,23,0.9583333333333334
Day 1 no drug,M3,M,Mild touch,escape,24,6,0.25
Day 1 no drug,M3,M,Light touch,withdrawal,25,40,1.6
Day 1 no drug,M3,M,Light touch,flinch,25,13,0.52
Day 1 no drug,M3,M,Light touch,attending,25,21,0.84
Day 1 no drug,M3,M,Light touch,lickbite,25,3,0.12
Day 1 no drug,M3,M,Light touch,guarding,25,28,1.12
Day 1 no drug,M3,M,Light touch,escape,25,3,0.12
Day 1 no drug,M3,M,Heat,withdrawal,20,58,2.9
Day 1 no drug,M3,M,Heat,flinch,20,32,1.6
Day 1 no drug,M3,M,Heat,attending,20,41,2.05
Day 1 no drug,M3,M,Heat,lickbite,20,25,1.25
Day 1 no drug,M3,M,Heat,guarding,20,32,1.6
Day 1 no drug,M3,M,Heat,escape,20,24,1.2
Day 2 drug,F1,F,Mild touch,withdrawal,21,15,0.7142857142857143
Day 2 drug,F1,F,Mild touch,flinch,21,15,0.7142857142857143
Day 2 drug,F1,F,Mild touch,attending,21,0,0.0
Day 2 drug,F1,F,Mild touch,lickbite,21,0,0.0
Day 2 drug,F1,F,Mild touch,guarding,21,0,0.0
Day 2 drug,F1,F,Mild touch,escape,21,11,0.5238095238095238
Day 2 drug,F1,F,Pin prick,withdrawal,13,6,0.46153846153846156
Day 2 drug,F1,F,Pin prick,flinch,13,1,0.07692307692307693
Day 2 drug,F1,F,Pin prick,attending,13,3,0.23076923076923078
Day 2 drug,F1,F,Pin prick,lickbite,13,0,0.0
Day 2 drug,F1,F,Pin prick,guarding,13,0,0.0
Day 2 drug,F1,F,Pin prick,escape,13,12,0.9230769230769231
Day 2 drug,F1,F,Light touch,withdrawal,20,4,0.2
Day 2 drug,F1,F,Light touch,flinch,20,3,0.15
Day 2 drug,F1,F,Light touch,attending,20,0,0.0
Day 2 drug,F1,F,Light touch,lickbite,20,2,0.1
Day 2 drug,F1,F,Light touch,guarding,20,0,0.0
Day 2 drug,F1,F,Light touch,escape,20,10,0.5
Day 2 drug,F1,F,Heat,withdrawal,18,23,1.2777777777777777
Day 2 drug,F1,F,Heat,flinch,18,13,0.7222222222222222
Day 2 drug,F1,F,Heat,attending,18,1,0.05555555555555555
Day 2 drug,F1,F,Heat,lickbite,18,21,1.1666666666666667
Day 2 drug,F1,F,Heat,guarding,18,0,0.0
Day 2 drug,F1,F,Heat,escape,18,19,1.0555555555555556
Day 2 drug,F2,F,Heat,withdrawal,18,43,2.388888888888889
Day 2 drug,F2,F,Heat,flinch,18,32,1.7777777777777777
Day 2 drug,F2,F,Heat,attending,18,7,0.3888888888888889
Day 2 drug,F2,F,Heat,lickbite,18,22,1.2222222222222223
Day 2 drug,F2,F,Heat,guarding,18,18,1.0
Day 2 drug,F2,F,Heat,escape,18,17,0.9444444444444444
Day 2 drug,F2,F,Mild touch,withdrawal,16,15,0.9375
Day 2 drug,F2,F,Mild touch,flinch,16,1,0.0625
Day 2 drug,F2,F,Mild touch,attending,16,5,0.3125
Day 2 drug,F2,F,Mild touch,lickbite,16,8,0.5
Day 2 drug,F2,F,Mild touch,guarding,16,0,0.0
Day 2 drug,F2,F,Mild touch,escape,16,17,1.0625
Day 2 drug,F2,F,Pin prick,withdrawal,25,48,1.92
Day 2 drug,F2,F,Pin prick,flinch,25,9,0.36
Day 2 drug,F2,F,Pin prick,attending,25,4,0.16
Day 2 drug,F2,F,Pin prick,lickbite,25,31,1.24
Day 2 drug,F2,F,Pin prick,guarding,25,21,0.84
Day 2 drug,F2,F,Pin prick,escape,25,14,0.56
Day 2 drug,F2,F,Light touch,withdrawal,13,13,1.0
Day 2 drug,F2,F,Light touch,flinch,13,9,0.6923076923076923
Day 2 drug,F2,F,Light touch,attending,13,4,0.3076923076923077
Day 2 drug,F2,F,Light touch,lickbite,13,2,0.15384615384615385
Day 2 drug,F2,F,Light touch,guarding,13,2,0.15384615384615385
Day 2 drug,F2,F,Light touch,escape,13,4,0.3076923076923077
Day 2 drug,F3,F,Heat,withdrawal,14,41,2.9285714285714284
Day 2 drug,F3,F,Heat,flinch,14,0,0.0
Day 2 drug,F3,F,Heat,attending,14,10,0.7142857142857143
Day 2 drug,F3,F,Heat,lickbite,14,19,1.3571428571428572
Day 2 drug,F3,F,Heat,guarding,14,14,1.0
Day 2 drug,F3,F,Heat,escape,14,22,1.5714285714285714
Day 2 drug,F3,F,Light touch,withdrawal,23,28,1.2173913043478262
Day 2 drug,F3,F,Light touch,flinch,23,12,0.5217391304347826
Day 2 drug,F3,F,Light touch,attending,23,5,0.21739130434782608
Day 2 drug,F3,F,Light touch,lickbite,23,9,0.391304347826087
Day 2 drug,F3,F,Light touch,guarding,23,2,0.08695652173913043
Day 2 drug,F3,F,Light touch,escape,23,4,0.17391304347826086
Day 2 drug,F3,F,Pin prick,withdrawal,18,29,1.6111111111111112
Day 2 drug,F3,F,Pin prick,flinch,18,23,1.2777777777777777
Day 2 drug,F3,F,Pin prick,attending,18,7,0.3888888888888889
Day 2 drug,F3,F,Pin prick,lickbite,18,26,1.4444444444444444
Day 2 drug,F3,F,Pin prick,guarding,18,36,2.0
Day 2 drug,F3,F,Pin prick,escape,18,19,1.0555555555555556
Day 2 drug,F3,F,Mild touch,withdrawal,14,20,1.4285714285714286
Day 2 drug,F3,F,Mild touch,flinch,14,7,0.5
Day 2 drug,F3,F,Mild touch,attending,14,5,0.35714285714285715
Day 2 drug,F3,F,Mild touch,lickbite,14,4,0.2857142857142857
Day 2 drug,F3,F,Mild touch,guarding,14,4,0.2857142857142857
Day 2 drug,F3,F,Mild touch,escape,14,8,0.5714285714285714
Day 2 drug,M1,M,Mild touch,withdrawal,24,36,1.5
Day 2 drug,M1,M,Mild touch,flinch,24,18,0.75
Day 2 drug,M1,M,Mild touch,attending,24,13,0.5416666666666666
Day 2 drug,M1,M,Mild touch,lickbite,24,2,0.08333333333333333
Day 2 drug,M1,M,Mild touch,guarding,24,6,0.25
Day 2 drug,M1,M,Mild touch,escape,24,10,0.4166666666666667
Day 2 drug,M1,M,Light touch,withdrawal,24,20,0.8333333333333334
Day 2 drug,M1,M,Light touch,flinch,24,33,1.375
Day 2 drug,M1,M,Light touch,attending,24,5,0.20833333333333334
Day 2 drug,M1,M,Light touch,lickbite,24,0,0.0
Day 2 drug,M1,M,Light touch,guarding,24,0,0.0
Day 2 drug,M1,M,Light touch,escape,24,23,0.9583333333333334
Day 2 drug,M1,M,Heat,withdrawal,19,31,1.631578947368421
Day 2 drug,M1,M,Heat,flinch,19,56,2.9473684210526314
Day 2 drug,M1,M,Heat,attending,19,15,0.7894736842105263
Day 2 drug,M1,M,Heat,lickbite,19,19,1.0
Day 2 drug,M1,M,Heat,guarding,19,3,0.15789473684210525
Day 2 drug,M1,M,Heat,escape,19,16,0.8421052631578947
Day 2 drug,M1,M,Pin prick,withdrawal,20,35,1.75
Day 2 drug,M1,M,Pin prick,flinch,20,47,2.35
Day 2 drug,M1,M,Pin prick,attending,20,8,0.4
Day 2 drug,M1,M,Pin prick,lickbite,20,0,0.0
Day 2 drug,M1,M,Pin prick,guarding,20,15,0.75
Day 2 drug,M1,M,Pin prick,escape,20,5,0.25
Day 2 drug,M2,M,Pin prick,withdrawal,21,34,1.619047619047619
Day 2 drug,M2,M,Pin prick,flinch,21,35,1.6666666666666667
Day 2 drug,M2,M,Pin prick,attending,21,18,0.8571428571428571
Day 2 drug,M2,M,Pin prick,lickbite,21,9,0.42857142857142855
Day 2 drug,M2,M,Pin prick,guarding,21,9,0.42857142857142855
Day 2 drug,M2,M,Pin prick,escape,21,20,0.9523809523809523
Day 2 drug,M2,M,Mild touch,withdrawal,16,19,1.1875
Day 2 drug,M2,M,Mild touch,flinch,16,18,1.125
Day 2 drug,M2,M,Mild touch,attending,16,7,0.4375
Day 2 drug,M2,M,Mild touch,lickbite,16,2,0.125
Day 2 drug,M2,M,Mild touch,guarding,16,2,0.125
Day 2 drug,M2,M,Mild touch,escape,16,18,1.125
Day 2 drug,M2,M,Heat,withdrawal,12,29,2.4166666666666665
Day 2 drug,M2,M,Heat,flinch,12,44,3.6666666666666665
Day 2 drug,M2,M,Heat,attending,12,10,0.8333333333333334
Day 2 drug,M2,M,Heat,lickbite,12,10,0.8333333333333334
Day 2 drug,M2,M,Heat,guarding,12,16,1.3333333333333333
Day 2 drug,M2,M,Heat,escape,12,15,1.25
Day 2 drug,M2,M,Light touch,withdrawal,23,23,1.0
Day 2 drug,M2,M,Light touch,flinch,23,9,0.391304347826087
Day 2 drug,M2,M,Light touch,attending,23,8,0.34782608695652173
Day 2 drug,M2,M,Light touch,lickbite,23,0,0.0
Day 2 drug,M2,M,Light touch,guarding,23,0,0.0
Day 2 drug,M2,M,Light touch,escape,23,9,0.391304347826087
Day 2 drug,M3,M,Pin prick,withdrawal,18,27,1.5
Day 2 drug,M3,M,Pin prick,flinch,18,15,0.8333333333333334
Day 2 drug,M3,M,Pin prick,attending,18,11,0.6111111111111112
Day 2 drug,M3,M,Pin prick,lickbite,18,4,0.2222222222222222
Day 2 drug,M3,M,Pin prick,guarding,18,7,0.3888888888888889
Day 2 drug,M3,M,Pin prick,escape,18,2,0.1111111111111111
Day 2 drug,M3,M,Mild touch,withdrawal,21,36,1.7142857142857142
Day 2 drug,M3,M,Mild touch,flinch,21,5,0.23809523809523808
Day 2 drug,M3,M,Mild touch,attending,21,30,1.4285714285714286
Day 2 drug,M3,M,Mild touch,lickbite,21,4,0.19047619047619047
Day 2 drug,M3,M,Mild touch,guarding,21,16,0.7619047619047619
Day 2 drug,M3,M,Mild touch,escape,21,5,0.23809523809523808
Day 2 drug,M3,M,Light touch,withdrawal,24,34,1.4166666666666667
Day 2 drug,M3,M,Light touch,flinch,24,10,0.4166666666666667
Day 2 drug,M3,M,Light touch,attending,24,5,0.20833333333333334
Day 2 drug,M3,M,Light touch,lickbite,24,3,0.125
Day 2 drug,M3,M,Light touch,guarding,24,10,0.4166666666666667
Day 2 drug,M3,M,Light touch,escape,24,3,0.125
Day 2 drug,M3,M,Heat,withdrawal,16,32,2.0
Day 2 drug,M3,M,Heat,flinch,16,24,1.5
Day 2 drug,M3,M,Heat,attending,16,20,1.25
Day 2 drug,M3,M,Heat,lickbite,16,10,0.625
Day 2 drug,M3,M,Heat,guarding,16,19,1.1875
Day 2 drug,M3,M,Heat,escape,16,18,1.125
