frame,time_s,affective_code,affective_label,affective_code_ml,affective_label_ml,withdrawal,flinch,withdrawal_ml,flinch_ml,stim_index,stim_code,stimulus,sec_since_delivery,uncertain,exclude_from_training
25,0.8000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
26,0.8333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
27,0.8667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
28,0.9000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
29,0.9333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
30,0.9667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
31,1.0000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
32,1.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
33,1.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
34,1.1000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
35,1.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
36,1.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
37,1.2000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
38,1.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
39,1.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
40,1.3000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
41,1.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
42,1.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
43,1.4000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
44,1.4333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
45,1.4667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
46,1.5000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
47,1.5333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
48,1.5667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
49,1.6000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
50,1.6333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
51,1.6667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
52,1.7000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
53,1.7333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
54,1.7667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
55,1.8000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
56,1.8333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
57,1.8667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
58,1.9000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
59,1.9333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
60,1.9667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
61,2.0000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
62,2.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
63,2.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
64,2.1000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
65,2.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
66,2.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
67,2.2000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
68,2.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
69,2.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
70,2.3000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
71,2.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
72,2.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
73,2.4000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
74,2.4333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
75,2.4667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
76,2.5000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
77,2.5333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
78,2.5667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
79,2.6000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
80,2.6333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
81,2.6667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
82,2.7000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
83,2.7333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
84,2.7667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
85,2.8000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
86,2.8333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
87,2.8667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
88,2.9000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
89,2.9333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
90,2.9667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
91,3.0000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
92,3.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
93,3.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
94,3.1000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
95,3.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
96,3.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
97,3.2000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
98,3.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
99,3.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
100,3.3000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
101,3.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
102,3.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
103,3.4000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
104,3.4333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
105,3.4667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
106,3.5000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
107,3.5333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
108,3.5667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
109,3.6000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
110,3.6333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
111,3.6667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
112,3.7000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
113,3.7333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
114,3.7667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
115,3.8000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
116,3.8333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
117,3.8667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
118,3.9000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
119,3.9333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
120,3.9667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
121,4.0000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
122,4.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
123,4.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
124,4.1000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
125,4.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
126,4.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
127,4.2000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
128,4.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
129,4.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
130,4.3000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
131,4.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
132,4.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
133,4.4000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
134,4.4333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
135,4.4667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
136,4.5000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
137,4.5333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
138,4.5667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
139,4.6000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
140,4.6333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
141,4.6667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
142,4.7000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
143,4.7333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
144,4.7667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
145,4.8000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
146,4.8333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
147,4.8667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
148,4.9000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
149,4.9333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
150,4.9667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
151,5.0000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
152,5.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
153,5.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
154,5.1000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
155,5.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
156,5.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
157,5.2000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
158,5.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
159,5.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
160,5.3000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
161,5.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
162,5.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
163,5.4000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
164,5.4333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
165,5.4667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
166,5.5000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
167,5.5333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
168,5.5667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
169,5.6000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
170,5.6333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
171,5.6667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
172,5.7000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
173,5.7333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
174,5.7667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
175,5.8000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
176,5.8333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
177,5.8667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
178,5.9000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
179,5.9333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
180,5.9667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
181,6.0000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
182,6.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
183,6.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
184,6.1000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
185,6.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
186,6.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
187,6.2000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
188,6.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
189,6.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
190,6.3000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
191,6.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
192,6.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
193,6.4000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
194,6.4333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
195,6.4667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
196,6.5000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
197,6.5333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
198,6.5667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
199,6.6000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
200,6.6333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
201,6.6667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
202,6.7000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
203,6.7333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
204,6.7667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
205,6.8000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
206,6.8333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
207,6.8667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
208,6.9000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
209,6.9333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
210,6.9667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
211,7.0000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
212,7.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
213,7.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
214,7.1000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
215,7.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
216,7.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
217,7.2000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
218,7.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
219,7.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
220,7.3000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
221,7.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
222,7.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
223,7.4000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
224,7.4333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
225,7.4667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
226,7.5000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
227,7.5333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
228,7.5667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
229,7.6000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
230,7.6333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
231,7.6667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
232,7.7000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
233,7.7333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
234,7.7667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
235,7.8000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
236,7.8333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
237,7.8667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
238,7.9000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
239,7.9333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
240,7.9667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
241,8.0000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
242,8.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
243,8.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
244,8.1000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
245,8.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
246,8.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
247,8.2000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
248,8.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
249,8.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
250,8.3000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
251,8.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
252,8.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
253,8.4000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
254,8.4333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
255,8.4667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
256,8.5000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
257,8.5333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
258,8.5667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
259,8.6000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
260,8.6333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
261,8.6667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
262,8.7000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
263,8.7333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
264,8.7667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
265,8.8000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
266,8.8333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
267,8.8667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
268,8.9000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
269,8.9333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
270,8.9667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
271,9.0000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
272,9.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
273,9.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
274,9.1000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
275,9.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
276,9.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
277,9.2000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
278,9.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
279,9.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
280,9.3000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
281,9.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
282,9.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
283,9.4000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
284,9.4333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
285,9.4667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
286,9.5000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
287,9.5333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
288,9.5667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
289,9.6000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
290,9.6333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
291,9.6667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
292,9.7000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
293,9.7333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
294,9.7667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
295,9.8000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
296,9.8333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
297,9.8667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
298,9.9000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
299,9.9333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
300,9.9667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
301,10.0000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
302,10.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
303,10.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
304,10.1000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
305,10.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
306,10.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
307,10.2000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
308,10.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
309,10.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
310,10.3000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
311,10.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
312,10.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
313,10.4000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
